elementName,score,nbOfSongs
"Nobuo Uematsu, Shotaro Shima ","1316.5",2
"8bit bEtty","1301.5",2
"Koji Kondo, Asuka Ohta","1287.6666666666667",3
"Neon Deity Games","1279",2
"Hikaru Utada","1264.5",2
"Chuck Dodgers","1255.5",2
"CarboHydroM, Scaredsim","1245.5",2
"Kenji Yamamoto, Minako Hamano","1240.6666666666667",3
"Kade Kalka","1237.5",2
"Akito Nakatsuka, Kenji Yamamoto, Yukio Kaneoka","1237.3333333333333",3
"Sataro Tojima, Hiroshi Mitsuoka","1234.75",4
"Dma-Sc","1223.5",2
"Nobuo Uematsu, Shiro Satou, Osamu Saitou, Toshiyuki Mori","1223.25",4
"Matt R., S. Battle","1222.5",2
"Kazuki Muraoka, Shinya Sakamoto, Atsushi Fujio, Kiyohiro Sada","1219.5",2
"George Buzinkai","1217.5",2
"Carpenter Brut","1213.5",2
"Darren Korb, Ashley Barrett","1213.25",4
"Marshall Parker","1207.25",4
"Bill Kiley","1200.6666666666667",3
"Naoto Ishida","1200.5",2
"Ben Prunty","1199",3
"Mutsuhiko Izumi, Kozo Nakamura","1198.6666666666667",6
"FFmusic Dj, Geoffrey Taucer","1198.4",5
"Tokyo Philharmonic Orchestra, Kosuke Yamashita","1198",3
"Hajime Wakai, Shibo Fujii, Mahito Yokota, Takeshi Hama, Koji Kondo, Hyrule Symphony Orchestra","1197.6666666666667",3
"Chimpazilla, timaeus222","1196.3333333333333",3
"Geoffrey Taucer, prophetik music","1191.5",2
"Brad Buxer","1191.5",2
"Paul Ruskay","1189",2
"Akifumi Tada","1186",3
"Hidekazu Tanaka","1185.5",2
"Hiroyuki Sawano, mpi, Mika Kobayashi","1184.5",2
"Andrew Prahlow","1184.4",5
"Paul van der Valk","1182.6666666666667",3
"Kazuki Muraoka, Hiroyuki Togo, Takanari Ishiyama, Lee Jeon Myung","1182",4
"3R2","1180.8",5
"Richard Munns","1180.5",2
"Nutritious, WillRock","1177",2
"Nobuo Uematsu, Máire Breatnach","1172.75",4
"Gareth Coker, Rachel Mellis","1171",2
"Kuro","1170.5",2
"Yukio Kaneoka, Hirokazu Tanaka","1170.5",2
"bLiNd, Leifo","1170",2
"Masashi Hamauzu, Ryo Yamazaki","1169.5",2
"Kazuki Muraoka, Kazuhiko Uehara, Harumi Ueko, Yukie Morimoto","1168.25",4
"B-laze","1166",6
"Pumpkin King","1165.3333333333333",3
"Tokyo Philharmonic Orchestra, Mariam Abounnasr","1165.2",5
"ASAGEN","1162.5",2
"Michiharu Hasuya","1162.3333333333333",3
"Lemonectric, TheKrow","1162",2
"Kubbi","1162",2
"Ryoji Yoshitomi","1162",2
"Derek Duke, Glenn Stafford","1161.8333333333333",6
"Norihiko Yamanuki","1161.8",5
"Shinray","1160.75",4
"Hiroshige Tonomura, Jake Kaufman (virt)","1160.6666666666667",6
"Pyro Paper Planes, Viking Guitar","1160.5",2
"Johannes Bjerregaard, Jeroen Tel","1156.5",2
"Jun Funahashi","1156.125",8
"PxFury","1155",2
"DJ RoboRob","1154.5",2
"Mental","1153",4
"Masanori Hikichi, Noriyuki Iwadare, Yoshiaki Kubotera, Isao Mizoguchi","1149.75",4
"Aethernaut","1149.5",2
"Manami Matsumae, Yuki Iwai","1148.5",2
"Mikio Saito","1147.875",8
"Jerry Martin, Marc Russo","1147.3333333333333",6
"Kenta Nagata","1146.1666666666667",6
"Unipulator","1145",2
"Masato Nakamura","1144.1875",16
"Dale North, mp","1144",2
"Yuzo Koshiro, Takeshi Yanagawa","1144",2
"Michiru Oshima & Pentagon","1144",2
"Masayuki Nagao","1144",2
"THE PRIMALS","1142.3333333333333",6
"Beatdrop, mp","1142",2
"Lucas Pope","1141",4
"Borislav Slavov","1140.4",5
"Laura Shigihara","1140.3636363636363",11
"Yumiko Kanki","1140.2",5
"Takeru Kanazaki","1139.7142857142858",7
"Alexander Brandon, Big Giant Circles","1139.5",2
"Firefox","1139.5",2
"Waveshaper","1139.5",2
"Malcolm Brown","1139",2
"Psycho Crusher","1138.6666666666667",3
"ToxicxEternity","1138.5",2
"Yukihide Takekawa","1137",4
"Kenta Nagata, Hajime Wakai, Toru Minegishi, Koji Kondo","1135.5",12
"Matt Berardo","1135.5",2
"III, Masaki Suzuki","1135",3
"Dj RoboRob","1135",2
"Geir Tjelta","1135",2
"Kimio Itoyama","1135",2
"The Humble Brothers","1133.6",5
"Drumble","1133.5",2
"OceansAndrew, OverClocked University","1133",5
"Tappi Iwase","1132.6666666666667",3
"JV","1132.5",2
"British Sea Power","1131",5
"Graeme Norgate, Grant Kirkhope","1131",9
"Koji Kondo, Yoshihiro Arita","1131",2
"Super Nintechno","1131",2
"Diodes","1130.5",4
"Donna Burke","1130",2
"Masahiko Kimura, Michiru Yamane","1129.5714285714287",7
"mochilon","1129.5",2
"Shoji Meguro, Lyn","1128.875",8
"Michiru Yamane, Yasushi Asada","1128",4
"Ivan Hakštok, Juan Medrano","1127.6666666666667",3
"Instant Remedy","1127",2
"Koji Kondo","1126.959595959596",99
"ConcernedApe","1126",10
"Yoshie Arakawa, Yoshinori Kawamoto","1126",5
"Kousuke Yamashita, Chad Seiter, Orchestra Nova San Diego","1126",5
"Retro Brothers","1126",2
"Long Dao","1126",2
"John Hey","1126",3
"Juan Medrano, zircon","1126",2
"CheDDer Nardz","1126",2
"The Grammar Club","1125.6666666666667",3
"Onyx Design","1125.5",2
"Nintendo","1124.5",2
"Shinji Ushiroda, Maasa Miyoshi, Shiho Fujii, Asuka Hayazaki","1124",4
"Daiki Ishikawa","1124",5
"Nintendo Sound Team","1123.75",4
"cycerin","1123",3
"Ryo Nagamatsu, Koji Kondo, Akito Nakatsuka","1122.7272727272727",11
"Dragonlord","1122",2
"ZackParrish, The Vodoú Queen","1121.5",2
"Lame Genie","1121.5",2
"Bjørn Lynne","1121.5",2
"Yasuaki Iwata, Koji Kondo","1121.5",2
