id,album,artist,title,2024-09-29
34948,"Lethal League Blaze","D Fast","Jungaaa",
34949,"Haven","Danger","13.39 Source",
3495,"Ratchet: Deadlocked","David Bergeaud","Marauder Tournament - Advanced Qualifier",
34950,"Haven","Danger","08.16 Home",
34951,"Haven","Danger","17.09 I Can't Stay Mad at You",
34952,"Haven","Danger","11.18 Move It Muffin!",
34953,"Haven","Danger","00.21 Nothing but Rust",
34954,"Haven","Danger","03.20 Free Fall",
34956,"Haven","Danger","04.42 Still Free",
34957,"Ys III: Wanderers from Ys","Jorito, HeavenWraith","Sunset Heroes",
34958,"Ys III: Wanderers from Ys","Jorito","Feena's Premonition",
34959,"Persona 4","Jamphibious","Great Success",
3496,"Ratchet: Deadlocked","David Bergeaud","Ghost Station - The Grinding Chase",
34960,"Conker's Bad Fur Day","Michael Hudak","Xerrox Salad/Memories of Memories",
34961,"Guild Wars 2","Paper Coelacanth","Rytlock's Super Critter Rave",
34962,"Journey to Silius","Kuro","Cyber Chrome",
34963,"Battletoads (NES)","David Wise","Turbo Tunnel Bike Race",
34964,"Battletoads (NES)","David Wise","Volkmire's Inferno Rocket Race",
34965,"Battletoads (NES)","David Wise","Arctic Caverns (Level 4)",
34966,"Star Ocean: Till the End of Time Arrange Album","Motoi Sakuraba","Fly Away in the Violet Sky",
34967,"Star Ocean: Till the End of Time Arrange Album","Motoi Sakuraba","Reflected Moon",1018
34968,"Star Ocean: Till the End of Time Arrange Album","Motoi Sakuraba, Mio Sakuraba","So Alone, Be Sorrow - Piano Ver. (Vocal: Mio Sakuraba)",
34969,"Star Ocean: Till the End of Time Arrange Album","Motoi Sakuraba","Mission to the Deep Space~Sail Against the Wind",
3497,"Ratchet: Deadlocked","David Bergeaud","Orxon - Node Overload",
34970,"Star Ocean: Till the End of Time Arrange Album","Motoi Sakuraba","The Dawn of Wisdom~The Incarnation of Devil",
"34971","Invalid song","Invalid song","Invalid song",
34972,"Star Ocean: Till the End of Time Arrange Album","Motoi Sakuraba","Brass Wings",
34973,"Star Ocean: Till the End of Time Arrange Album","Motoi Sakuraba","Frightened Eyes",
34974,"Star Ocean: Till the End of Time Arrange Album","Motoi Sakuraba, Mio Sakuraba","So Alone, Be Sorrow (Vocal: Mio Sakuraba)",
34976,"Star Ocean: Till the End of Time Arrange Album","Motoi Sakuraba","Bird's Eye View",
34978,"STAR OCEAN -THE LAST HOPE- Arrange Soundtrack","Motoi Sakuraba","Night of the Chase",
34979,"STAR OCEAN -THE LAST HOPE- Arrange Soundtrack","Motoi Sakuraba","Tears in the Sun Make a Rainbow",1009
34980,"STAR OCEAN -THE LAST HOPE- Arrange Soundtrack","Motoi Sakuraba","Seeker",
34982,"STAR OCEAN -THE LAST HOPE- Arrange Soundtrack","Motoi Sakuraba","Cosmic Voyagers (piano version)",
34984,"STAR OCEAN -THE LAST HOPE- Arrange Soundtrack","Motoi Sakuraba","Yin and Yang",
34985,"STAR OCEAN -THE LAST HOPE- Arrange Soundtrack","Motoi Sakuraba","Blood on the Keys",
34986,"STAR OCEAN -THE LAST HOPE- Arrange Soundtrack","Motoi Sakuraba","Worlds Yet Unexplored",
34987,"STAR OCEAN -THE LAST HOPE- Arrange Soundtrack","Motoi Sakuraba","Maelstrom's Clutches",
34988,"STAR OCEAN -THE LAST HOPE- Arrange Soundtrack","Motoi Sakuraba","The Incarnation of Devil",
