elementName,score,nbOfSongs
"Final Fantasy Crystal Chronicles","1009",11
"Volume 4","1009",10
"Pokémon Mystery Dungeon: Gates to Infinity","1009",6
"Haven","1009",7
"X-Men: Mutant Apocalypse","1009",6
"Final Fantasy XIV Orchestral Arrangement Album Vol. 3","1009",6
"Pizza Tower","1009",6
"Wii Sports Resort","1009",4
"Wily & Light no Rockboard: That's Paradise","1009",5
"Violent Storm","1009",5
"Donkey Kong Country Returns","1009",20
"Arcade","1009",2
"Thunder Force III","1009",7
"Wolverine","1009",4
"A Boy and His Blob: Trouble on Blobolonia","1009",2
"Blast Corps","1009",5
"Gamer Symphony Orchestra Spring 2013","1009",4
"Vigilante 8","1009",5
"PoPoLoCRoIS Story","1009",4
"Uncharted Waters II: New Horizons","1009",4
"Nintendo Power GB Memory Flash Cart","1009",2
"BigBot Audio Drop","1009",4
"HeadBangers","1009",3
"Hot Shots Golf 6","1009",7
"Dr. Acula's Malevolent Manor","1009",7
"A Fistful of Chiptunes","1009",2
"Hades","1009",4
"Mappy Kids","1009",2
"Incredible Crisis","1009",4
"Disgaea 3: Absence of Justice","1009",5
"Teenage Mutant Ninja Turtles: Fall of the Foot Clan","1009",5
"Dragon Quest Monsters II Synthesizer Suite","1009",2
"Shin Megami Tensei: Devil Summoner 2: Raidou Kuzunoha vs. King Abaddon","1009",5
"Rollerball","1009",2
"P.N.03","1009",5
"Leg Vacuum","1009",5
"Final Fantasy (PSP)","1009",2
"Tetris","1008.6086956521739",23
"Sonic Mania","1008.4705882352941",17
"Essence of Lime","1008.4705882352941",17
"Diddy Kong Racing","1008.4",15
"Prinny: Can I Really Be the Hero?","1008.3571428571429",14
"Monster Hunter: World","1008.3571428571429",14
"Mega Man X2","1008.3571428571429",14
"Phantasy Star Series 25th Anniversary Concert Sympathy 2013","1008.3076923076923",13
"Fire Emblem: Blazing Sword","1008.3076923076923",13
"Ys: The Oath in Felghana","1008.3076923076923",13
"Super Mario 3D World","1008.3076923076923",13
"FINAL FANTASY TRIBUTE ～THANKS～","1008.3076923076923",13
"Final Fantasy VIII (20th Anniversary Remix Album)","1008.3076923076923",13
"Super Mario Land","1008.28",25
"Stardew Valley","1008.25",12
"Sonic CD USA","1008.25",12
"F-Zero GX","1008.25",12
"Nice.","1008.25",12
"Final Fantasy Tactics A2","1008.1818181818181",11
"Bomber Blue / Gallant Green","1008.1818181818181",11
"Chiptunes = WIN: Volume 6","1008.1818181818181",11
"Super Puzzle Platformer Deluxe","1008.1818181818181",11
"Gokinjo Bouken Tai","1008.1818181818181",11
"Donkey Kong Country: Treetop Tunes","1008.1818181818181",22
"Mega Man 4","1008.1428571428571",21
"SimCity 4","1008.1",10
"PAX 07 Live","1008.1",10
"Unavenged","1008.1",10
"Teleroboxer","1008.1",10
"To Far Away Times Chrono Trigger Chrono Cross Arrangement Album","1008.1",10
"Legend of Mana","1008.0526315789474",19
"Mega Man X6","1008",9
"Final Fantasy XIV: Stormblood","1008",9
"Uncharted Waters II - New Horizons Arranged","1008",9
"Mamorukun Curse!","1008",9
"Cuphead","1007.9411764705883",17
"Final Fantasy VIII","1007.9024390243902",41
"Moral Codec Failure","1007.875",8
"Abinox","1007.875",8
"Ace Combat Zero","1007.875",8
"Guilty Gear Xrd","1007.875",16
"Persona Music Live Band","1007.875",8
"Grandia","1007.875",16
"Dragon Slayer: The Legend of Heroes","1007.875",8
"Danganronpa 2","1007.875",8
"Age of Empires II","1007.875",8
"Ninja Gaiden (SMS)","1007.875",8
"Super Mario RPG: Window to the Stars","1007.8260869565217",23
"Silent Hill 2","1007.8",15
"Shantae: Half-Genie Hero","1007.8",15
"The Legend of Zelda: Link's Awakening","1007.7727272727273",44
"The Best Of Video Game Remix - Level 2","1007.7142857142857",7
"Zelda II: The Adventure of Link","1007.7142857142857",28
"Select Start","1007.7142857142857",14
"Chaos Rings Ω","1007.7142857142857",7
"Dragon Quest IV (PS)","1007.7142857142857",7
"Battletoads (NES)","1007.7142857142857",7
"*OUTDATED* MegaMan 25th Anniversary","1007.7142857142857",7
"Dolphin Park","1007.7142857142857",7
"Kirby's Dream Land","1007.7142857142857",14
"Soulcalibur","1007.7142857142857",7
"Shadow of the Colossus","1007.6666666666666",27
"T4N3 (Singles)","1007.6153846153846",13
"Mega Man 3","1007.6",45
"Atelier Rorona","1007.578947368421",19
"Donkey Kong Country 2: Serious Monkey Business","1007.5",24
"The Grand Robot Master Remix Battle 2010","1007.5",18
"Rainbow Cotton","1007.5",6
"Volume 2","1007.5",18
"I Think, Therefore I AM","1007.5",6
"Pokémon Trading Card Game","1007.5",12
"Skygunner","1007.5",6
"Final Fantasy VI - World's Requiem","1007.5",24
"Club Game Music","1007.5",6
"Decades","1007.5",6
"Half-Life 2: Episode Two","1007.5",6
"The Great Tale of the Little Ones Vol. 2","1007.3928571428571",28
"World 1-2: Encore","1007.3636363636364",11
"Battle SQ","1007.3636363636364",11
"Ys Origin","1007.3125",16
"BlazBlue: Calamity Trigger","1007.3125",16
"Chrono Trigger: Chrono Symphonic","1007.2857142857143",21
"Final Fantasy","1007.258064516129",31
"Final Fantasy VIII: SeeDs of Pandora","1007.2",45
"Time & Space ~ A Tribute to Yasunori Mitsuda","1007.2",15
"Triggerheart Exelica","1007.2",5
"Seiken Densetsu 25th Anniversary Orchestra Concert","1007.2",10
"Snatcher","1007.2",5
"Dragon Quest II","1007.2",5
"Track & Field II","1007.2",5
"Within a Deep Forest","1007.2",5
"Sonic Symphony","1007.2",25
"Planescape Torment","1007.2",5
"MapleStory","1007.2",15
"A New Story","1007.2",5
"The K.K. Sessions (Animal Crossing EP)","1007.2",5
"/sing","1007.2",5
"Shoreline","1007.2",5
"Stay Awhile and Listen","1007.2",10
"Moments Captured","1007.2",5
"Dark Cloud 2","1007.0714285714286",14
"The Legend of Zelda: Link's Awakening - Orchestral Arrangement","1007.0714285714286",14
"Sonic 1&2: 8-bit Arrange OST","1007.0714285714286",14
"Chicory: A Colorful Tale","1007",9
"Tekken 5","1007",9
"Super Guitar Bros.","1007",9
"The Great Ace Attorney: Adventures","1007",9
"A Hat in Time - B-Side Soundtrack","1007",9
"Ocarina of Time (Super Guitar Bros.)","1007",18
"Hyrule Warriors","1007",9
"Mother 3","1007",9
"Pokémon Stadium","1007",9
"Banjo-Kazooie: Nuts & Bolts","1007",9
"Cadence of Hyrule","1006.9230769230769",13
"Pilotwings 64","1006.9230769230769",13
"Yakuza 5","1006.9230769230769",13
"The Sonic Stadium Music Adventure 2012 [Discs 7-10]","1006.9230769230769",26
"Sonicesque, Vol. III","1006.9230769230769",13
"Okami","1006.8571428571429",21
"The Legend of Zelda: A Link to the Past","1006.8507462686567",67
"DuckTales 2","1006.75",8
"Trine 2","1006.75",8
"Monster Hunter 10th Anniversary Compilation Album [Self-cover]","1006.75",8
"Baby Felix - Halloween","1006.75",4
"Ocean Loaders","1006.75",4
"Calm Your Nerves","1006.75",12
"The Last Ninja (NES)","1006.75",4
"Chrono Trigger The Brink of Time","1006.75",8
"Catch This!","1006.75",24
"NieR Replicant & NieR:Automata -Chiptune Arrangement Tracks-","1006.75",4
"Alien Soldier","1006.75",4
"The Legend of Zelda: The Minish Cap","1006.75",16
"More Games","1006.75",8
"Batman: Return of the Joker","1006.75",4
"Alex Kidd in Miracle World","1006.75",4
"Shadow of the Beast","1006.75",4
"Warsong","1006.75",4
"Final Fantasy VII: Crisis Core","1006.75",16
"Xenosaga Episode III: Also sprach Zarathustra","1006.75",8
"Game Boy Rock (Special Edition)","1006.75",8
"Inverse Phase (Singles)","1006.75",4
"The Song Remains the Game","1006.75",4
"Alcahest","1006.75",4
"Halo 2 Anniversary","1006.75",4
"Aladdin (SNES)","1006.75",8
"Electronica Tunes -FINAL FANTASY Series-","1006.75",8
"Origin","1006.75",4
"Zan Gear","1006.75",4
"Time Trax","1006.75",4
"ROCKMAN Kai Arrange","1006.75",4
"Warp Zone","1006.75",8
"Wii Fit Plus","1006.75",4
"Bloody Roar 4","1006.75",4
"Get Equipped","1006.75",8
"Rockman EXE 4.5","1006.75",4
"Harmony of Heroes: Final Smash","1006.6315789473684",19
"Sonic the Hedgehog Pocket Adventure","1006.6315789473684",19
"Rockman ZX Soundtrack: ZX Tunes","1006.6315789473684",19
"Timeless Ocean","1006.6315789473684",19
"Mega Man Battle Network 3","1006.6",15
"Hollow Knight","1006.6",15
"Squaredance","1006.6",15
"A Hat in Time","1006.5454545454545",11
"Mega Man X5","1006.5454545454545",11
"Super Dodge Ball - No Balls, No Glory","1006.5454545454545",11
"Street Fighter IV","1006.5454545454545",22
"Octopath Traveler: Echoes of Eight","1006.48",25
"Turrican","1006.4285714285714",7
"Pink Sells...","1006.4285714285714",7
"Futures Past Due","1006.4285714285714",7
"Paper Mario: The Thousand-Year Door","1006.4285714285714",14
"Keitai Denjuu Telefang","1006.4285714285714",7
"Total Pwnage","1006.4285714285714",7
"Mega Man X: Command Mission","1006.4285714285714",7
"Front Mission: Gun Hazard","1006.4285714285714",14
"SQUARE ENIX - Airship Cruise Beats Vol.2","1006.4285714285714",7
"Silent Hope","1006.4285714285714",7
"MegaMan 1","1006.4285714285714",7
"Mystery Gift: An Original Pokémon Tribute","1006.4285714285714",7
"Monster Hunter 10th Anniversary Orchestra Concert ~Shuryou Ongakusai 2014~","1006.3529411764706",17
"Metroid Prime 3: Corruption","1006.3",10
"Snatcher (MSX)","1006.3",10
"Gordian Tomb","1006.3",10
"Our Cerulean Skies","1006.3",10
"Versus Video Games","1006.2307692307693",13
"Super Cartography Bros.","1006.1875",16
"The Messenger","1006.1875",16
"Teenage Mutant Ninja Turtles: Shell Shocked","1006",15
"Tecmo Bowl","1006",3
"Bits and Bytes","1006",6
"Chiptunes = WIN: Volume 1","1006",12
"Zwei!!","1006",6
"Transistor","1006",9
"Jazz Jackrabbit 3","1006",6
"Warriors Orochi 3","1006",18
"Trails in the Sky the 3rd","1006",9
"Eternal Sonata","1006",12
"Wacky Wheels","1006",6
"Dark World (Sampler)","1006",3
"Golden Axe","1006",6
"But Thou Must EP","1006",3
"Kirby's Dream Land 2","1006",12
"Guild Wars","1006",6
"Amiga Days","1006",12
"A Fleeting Dream: A Melancholy Tribute to Final Fantasy X (Overdrive Edition)","1006",21
"Deadbolt","1006",9
"The Sonic Stadium Music Album 2011","1006",24
"Metal Kombat For The Mortal Man","1006",9
"LOADING READY RUN","1006",12
"Ghouls'n Ghosts","1006",9
"The Family Pewter EP","1006",3
"Persona 3: FES","1006",15
"Waveform","1006",3
"Derris-Kharlan - Live","1006",6
"Kirby Tilt 'n' Tumble","1006",3
"Where Hearts And Minds Collide","1006",3
"Time's End II: Majora's Mask Remixed","1006",3
"EIDOLON: Music From Final Fantasy IX","1005.8846153846154",26
"Wild Arms","1005.8695652173913",23
"Sonic the Hedgehog 3","1005.85",40
"Undertale","1005.8378378378378",37
"Harvestella","1005.8235294117648",17
"Ys I&II Chronicles","1005.7857142857143",14
"Pokémon Gold/Silver/Crystal","1005.7857142857143",42
"The Legend of Zelda: Twilight Princess","1005.7857142857143",42
"Giana Sisters: Twisted Dreams","1005.7857142857143",14
"Disgaea: Hour of Darkness","1005.7857142857143",14
"Final Fantasy V","1005.7272727272727",33
"Sonic 3D Blast (GEN)","1005.7272727272727",11
"GAME: Game & Anime Music Emotions","1005.7272727272727",11
"NOW THAT'S WHAT I CALL KULOR!","1005.7272727272727",11
"Culdcept Saga","1005.7272727272727",11
"Mega Man Battle Network 6","1005.7272727272727",11
"Phoenix Wright 3: Trials and Tribulations","1005.625",8
"Shantae and the Seven Sirens","1005.625",8
"Power Quest","1005.625",8
"Nintendo Legends - Part I","1005.625",8
"Valdis Story: Abyssal City","1005.625",8
"Beer SQ","1005.625",8
"Bastion","1005.625",16
"Portals","1005.625",8
"Shin Megami Tensei: Devil Summoner: Raidou Kuzunoha vs. The Soulless Army","1005.625",8
"Power Stone","1005.625",8
"SaGa Frontier Series Acoustic Arrangements","1005.625",8
"The Briggs Effect 2","1005.625",8
"Risk of Rain","1005.625",8
"µWIN","1005.625",16
"Spindash 3: Sonic the Hedgehog Remixes","1005.625",16
"Final Fantasy VII - Radiant Melodies","1005.625",8
"Star Ocean: The Second Story","1005.5714285714286",21
"IWADON: Hiroyuki Iwatsuki Tribute Album","1005.5714285714286",21
"Final Fantasy VII: Voices of the Lifestream","1005.516129032258",31
"Genshin Concert 2021 - Melodies of an Endless Journey","1005.516129032258",31
"Button Masher","1005.5",18
"The Legend of Zelda","1005.4782608695652",23
"Espgaluda II: Black Label","1005.4",10
"Mega Man: Dr Wily's Revenge","1005.4",10
"Shatterhand","1005.4",10
"Reprisal","1005.4",5
"The Longest Journey","1005.4",5
"Top Gear","1005.4",10
"A New World: Intimate Music from FINAL FANTASY","1005.4",15
"God Eater Burst","1005.4",10
"Mario Kart Wii","1005.4",15
"Shining Force CD","1005.4",5
"The Legend of Zelda: Oracle of Seasons","1005.4",15
"Legend of Heroes V","1005.4",10
"Sword of Mana","1005.4",5
"Diddy Kong Racing: Bootleg Circuit","1005.4",5
"The Greatest Video Game Music 2","1005.4",15
"Felix the Cat","1005.4",5
"Motorway","1005.4",10
"Pokémon X/Y","1005.4",20
"Helmarock: Zelda Metal Vol. II","1005.4",5
"Tropical Paradise - Sound of The Sonic Stadium '15","1005.4",15
"Skipp and Friends","1005.4",5
"Brain Lord","1005.4",5
"Sonic & All-Stars Racing Transformed","1005.4",5
"Genshin Impact","1005.4",5
"Touhou Sangetsusei: Fairy Wars","1005.4",5
"Bushido Blade 2","1005.4",5
"Guardia: The X-Strike Sessions","1005.4",5
"Lufia II: Rise of the Sinistrals","1005.3333333333334",27
"Chronopolis: Music Inspired by Chrono Cross","1005.3181818181819",22
"Hymns of Light and Shadows","1005.2941176470588",17
"Kickbutt.exe","1005.2941176470588",17
"MENU: An Homage to Game Title Themes","1005.2758620689655",29
"Ys III: Wanderers from Ys","1005.25",12
"Turok: Battle of the Bionosaurs","1005.25",12
"Phantom Brave","1005.25",12
"Super Castlevania IV","1005.2105263157895",19
"Sonic 3 & Knuckles: 8-bit Arrange OST","1005.2105263157895",19
"Chip 'n Dale: Rescue Rangers 2","1005.1428571428571",14
"FantomenK (Singles)","1005.1428571428571",14
"Final Fantasy III","1005.1428571428571",21
"Super Star Soldier","1005.1428571428571",7
"Legacy: Game Boy 25th Anniversary","1005.1428571428571",14
"Sega Piano Nocturne","1005.1428571428571",7
"Move or Die","1005.1428571428571",7
"Lords of Thunder","1005.1428571428571",7
"Valkyrie Profile Arrange","1005.1428571428571",7
"Rogue Legacy","1005.1428571428571",7
"FINAL FANTASY XIV Orchestral Arrangement Album Vol. 2","1005.1428571428571",7
"Digimon World: Next Order","1005.1428571428571",7
"Who Framed Roger Rabbit","1005.1428571428571",7
"NESteryears","1005.1428571428571",7
"OMEGA: A Tribute to Xenogears","1005.0869565217391",23
"Tiny Barbarian DX","1005.0869565217391",46
"Kirby's Epic Yarn","1005.0625",16
"Mega Man 2","1005.0454545454545",66
"Pokémon: The Eevee EP","1005",9
"Kingdom Hearts Piano Collections Field & Battle","1005",9
"big wh00p","1005",9
"Persona 4 Arena","1005",9
"Aladdin","1005",9
"Worldwide Soccer: Sega International Victory Goal Edition Europe","1005",9
"Ganbare Goemon 2: Kiteretsu Shougun Magginesu","1005",9
"Chiptunes = WIN: Volume 8","1005",18
"NieR Orchestral Arrangement Album - Addendum","1005",9
"Beyond the Mist","1004.9787234042553",47
"Super Smash Bros. for 3DS / Wii U","1004.9285714285714",42
"Choujin Sentai Jetman","1004.9090909090909",11
"Super Paper Mario","1004.9090909090909",11
"Rhythm Thief & the Emperor's Treasure","1004.9090909090909",11
"The Black Mages II: The Skies Above","1004.9090909090909",11
"Bound Together: ReBound","1004.9090909090909",22
"Heavy Troopa is Ready to Launch!","1004.9090909090909",22
"Perfect Dark","1004.8461538461538",13
"Weekly Treats: 2015","1004.8461538461538",13
"Castlevania: Order of Ecclesia","1004.8",15
"OCTOPATH TRAVELER Break, Boost and Beyond Live!","1004.8",15
"Mega Man Rock n Roll","1004.8",15
"The Lone Ranger","1004.7647058823529",17
"Final Fantasy VI","1004.7368421052631",95
"Wario Land: Shake It!","1004.7368421052631",19
"Final Fantasy XIV: A Realm Reborn","1004.695652173913",23
"Cave Story","1004.6551724137931",29
"Video Game Guitar Covers, Vol. 2","1004.6551724137931",29
"Phantasy Star Online","1004.5",16
"Final Fantasy VII","1004.5",74
"Plants vs. Zombies","1004.5",14
"Final Fantasy Type-0","1004.5",8
"Retro Remix Revue Vol. 2","1004.5",10
"TREYFREY","1004.5",4
"Xenoblade Chronicles 2","1004.5",20
"Wiz 'n' Liz","1004.5",8
"GoldenEye 007","1004.5",16
"Metroid Piano","1004.5",6
"Einhänder","1004.5",10
"Expansion Pack","1004.5",4
"Wild Arms: ARMed and DANGerous","1004.5",42
"Asura's Wrath","1004.5",4
"Atelier Rorona Arrange Tracks","1004.5",10
"Pokémon XD: Gale of Darkness","1004.5",4
"Elebits","1004.5",10
"Time Travelers","1004.5",10
"Phoenix Wright 5: Dual Destinies","1004.5",6
"Tales of VS.","1004.5",6
"The TRIFORCE of BASS","1004.5",6
"Versus Video Games 2","1004.5",18
"Sanxion","1004.5",2
"VGM Acapella: Volume 4","1004.5",10
"Wan Nyan Slash","1004.5",2
"Crypt of the NecroDancer: Freestyle Retro","1004.5",6
"Titan Warriors","1004.5",6
"Nanobeast","1004.5",4
"Mega Man 7","1004.5",8
"Mega Man 6 (PS)","1004.5",8
"Square Enix - Mellow Minstrel Mix Vol.2","1004.5",10
"Videogame Music Showreel","1004.5",6
"Hey! Listen! Mixtapes","1004.5",4
"Super Mario Kart Album","1004.5",8
"Pikmin","1004.5",2
"Vana'diel Traditional Suite of Minstrels","1004.5",6
"Diad","1004.5",6
"System of a Master","1004.5",8
"I Wish I Were Your Derivative","1004.5",4
"Stardusk","1004.5",2
"Joe & Mac (NES)","1004.5",2
"Rare SQ","1004.5",8
"Music System 2013","1004.5",8
"Beat Drop","1004.5",2
"GAIAttack!","1004.5",4
"Theme Hospital","1004.5",8
"Halo 2","1004.5",6
"Samurai Warriors 4","1004.5",12
"Little Big Adventure 1 & 2","1004.5",4
"Get Acoustic","1004.5",10
"BLUENOISE","1004.5",6
"Altered Beast","1004.5",2
"Itadaki Street 2","1004.5",2
"CHIPFUNK","1004.5",2
"War of the Triad","1004.5",8
"Gex 3: Deep Cover Gecko","1004.5",4
"Bad Dudes EP","1004.5",6
"Space Quest III: The Pirates of Pestulon","1004.5",2
"Passcode: Soul of the Traveler","1004.5",2
"Worms 3D","1004.5",2
"The Legend of Zelda: The Wind Waker","1004.390243902439",41
"EPOCH: A Tribute to Chrono Trigger","1004.3783783783783",37
"Shantae and the Pirate's Curse","1004.2857142857143",21
"Shin Megami Tensei ONLINELIVE2021 ~Ongaku no Kotowari~","1004.2631578947369",19
"Banjo Guy Ollie - Vol. 1","1004.2352941176471",17
"Hylian Downfall","1004.21875",32
"Mario Kart 8","1004.2",30
"Game & Watch Gallery 4","1004.2",15
"A Cursed Legacy","1004.1538461538462",26
"Mega Man Battle Network 5 (GBA)","1004.1538461538462",13
"Famison 8BIT☆iDOLM@STER","1004.1538461538462",13
"Songs for the Recently Deceased","1004.1538461538462",13
"Skeleton Boomerang","1004.1538461538462",13
"Pokémon Mystery Dungeon Red/Blue","1004.0909090909091",22
"Touhou Kaikidan: Mystic Square","1004.0909090909091",11
"Nier","1004.0909090909091",22
"SQ Chips2","1004.0909090909091",11
"Sonic 3D Blast 8-bit Arrange","1004.0909090909091",11
"Phantasy Star IV: The End of the Millennium","1004.0909090909091",11
"Pixel Glass","1004.0909090909091",11
"Bitpop? Vol. 1","1004.0909090909091",11
"Mystical Ninja Starring Goemon","1004.0909090909091",11
"What's Pink and Sucks?","1004.0909090909091",11
"Guilty Gear XX","1004.0909090909091",11
"Video Game Covers","1004.0909090909091",11
"Final Fantasy Series Acoustic Arrangements","1004.0909090909091",11
"Super Mario Galaxy","1004.0645161290323",31
"Cave Story Remix Project","1004.05",20
"EXILE: A Tribute to Supergiant Games","1004.05",20
"Invalid song","1004.0183486238532",327
"1-Minute","1004",9
"Metal Slug 4","1004",9
"Falsion","1004",9
"Mega Man 2: The Power Fighters","1004",9
"THE ANSWER - Armored Core Tribute Album -","1004",9
"BACKUP","1004",9
"Folklore","1004",9
"Kid Icarus","1004",9
"Penguin Adventure","1004",9
"eXceed 3rd","1004",9
"Danganronpa","1004",9
"Luminous Arc","1004",9
"BLUESHIFT","1004",9
"FAMIFOOD","1004",9
"The Legend of Zelda: Ocarina of Time","1003.8863636363636",88
"PiCTOBiTS","1003.8571428571429",14
"Lunar 2: Eternal Blue Complete","1003.8571428571429",14
"PPPPPPowerup!","1003.8571428571429",14
"Ethereal Arrows","1003.8571428571429",7
"Castlevania: Scarlet Night","1003.8571428571429",21
"VG Rocks","1003.8571428571429",14
"Kirby's Dream Land 3","1003.8571428571429",7
"Illusion of Gaia","1003.8571428571429",7
"FATE: A Tribute to Majora's Mask","1003.8076923076923",26
"Final Fantasy VI: Balance and Ruin","1003.8",45
"Yoshi's Woolly World","1003.7894736842105",19
"Poké & Chill","1003.75",12
"Chip unDeath","1003.75",12
"Baten Kaitos","1003.75",12
"Mavericks Of Metal","1003.75",12
"We Are ROCK-MEN!","1003.75",12
"Metroid","1003.7241379310345",29
"Harmony of a Hunter","1003.6818181818181",22
"Final Fantasy IV","1003.6",50
"Age of Mythology","1003.6",5
"Final Fantasy II","1003.6",10
"Abadox","1003.6",5
"Secret of Mana: Resonance of the Pure Land","1003.6",25
"OneShot","1003.6",5
"F-Zero X Guitar Arrange","1003.6",5
"Ironsword: Wizards & Warriors II","1003.6",5
"Dark Lord","1003.6",15
"Klonoa 2: Lunatea's Veil","1003.6",5
"Mega Man: The Power Battle","1003.6",5
"Tekken Tag Tournament 2","1003.6",10
"The Secret of Monkey Island: Special Edition","1003.6",5
"Castle Crashers","1003.6",15
"Wild Arms: Rocking Heart","1003.6",15
"Live At San Pedro Square","1003.6",10
"VGM Acapella: Volume 3","1003.6",10
"Mega Man Xtreme 2","1003.6",10
"Kanto Symphony: The Lost Diaries","1003.6",5
"Geometry Wars 2","1003.6",5
"Crypt of the NecroDancer","1003.6",20
"Myst III: Exile","1003.6",5
"Level","1003.6",5
"Front Mission 3","1003.6",5
"Tribute Album 64","1003.5121951219512",41
"Dungeon Explorer II","1003.4615384615385",13
"The Legend of Nayuta: Boundless Trails","1003.4615384615385",13
"Tekken 6","1003.4615384615385",13
"Final Fantasy Legend III","1003.4615384615385",13
"House set of \"Imperishable Night\"","1003.4615384615385",13
"Ys IX: Monstrum Nox","1003.4615384615385",13
"RosenkreuzStilette","1003.4615384615385",13
"Twilight Symphony","1003.4411764705883",34
"Final Fantasy X","1003.4363636363636",55
"The Legend of Zelda: Breath of the Wild","1003.4137931034483",29
"Reset Generation","1003.375",8
"Langrisser II","1003.375",8
"Bean's Quest","1003.375",8
"Choice Nuggets","1003.375",8
"Axiom Verge","1003.375",8
"Part Seven","1003.375",8
"Sonic Runners","1003.375",8
"Ristar","1003.375",8
"Trails in the Sky","1003.375",8
"Final Fantasy XIV Duality ~Arrangement Album~","1003.375",8
"Square Enix Piano Album","1003.3428571428572",35
"Silent Hill","1003.2727272727273",11
"The Binding of Isaac","1003.2727272727273",11
"BRA★BRA FINAL FANTASY BRASS de BRAVO 3","1003.2727272727273",11
"DKC Mix't Ape '94","1003.2727272727273",22
"Code of Princess","1003.2727272727273",11
"Celeste","1003.2142857142857",14
"30XX","1003.2142857142857",14
"Rayman","1003.2142857142857",14
"Mario Kart 8 Deluxe","1003.2142857142857",14
"NieR Orchestral Arrangement Special Box Edition","1003.1764705882352",17
"Super Metroid ~Reserve Tank VARIAtions~","1003.1764705882352",17
"Mega Man: The Wily Wars","1003.15",20
"EarthBound","1003.0857142857143",35
"Castlevania III: Dracula's Curse","1003",24
"Shadow Hearts II","1003",6
"Super Street Fighter II Turbo: Blood on the Asphalt","1003",15
"Mega Man 11 Soundtrack Project","1003",18
"SOUND WAVES: A Tribute to Ecco the Dolphin","1003",18
"Team Sonic Racing","1003",6
"Yggdra Union","1003",21
"Rogue Galaxy Premium Arrange","1003",6
"Dragon Quest Monsters","1003",6
"Déjà Vu","1003",3
"Sonic Advance","1003",9
"Myth: The Xenogears Orchestral Album","1003",12
"Mega Man & Bass","1003",12
"Journeys","1003",6
"Jingle All the Way","1003",6
"Solarbear Daisuki","1003",3
"Perfect Selection Xexex","1003",3
"Versus Video Games 3","1003",24
"CHRONO SPECIAL DISC ~ Piano Duo ~","1003",3
"Ace Combat 7: Skies Unknown","1003",9
"Lethal League Blaze","1003",3
"Backwards Compatible","1003",12
"Stritch's Brew","1003",9
"Game Changer","1003",9
"Raiden III","1003",6
"Berserker","1003",9
"Fetushouse","1003",3
"Dark Void Zero","1003",3
"Final Fantasy Explorers","1003",15
"Controller 1","1003",3
"Ego Depletion","1003",3
"Commander Keen 4: Secret of the Oracle","1003",3
"Fester's Quest","1003",3
"Tekken 7","1003",6
"Mario Kart: Bonus Beach","1003",3
"Super Smash Bros. Ultimate","1002.9347826086956",46
"Nibelung Valesti","1002.918918918919",37
"Brandish 3: Spirit of Balcan","1002.9032258064516",31
"PERSONA SUPER LIVE P-SOUND STREET 2019 ~Q-ban Theater e Youkoso~","1002.8928571428571",28
"Street Fighter II: The World Warrior","1002.8125",48
"Marvel vs. Capcom - Clash of Super Heroes","1002.8125",16
"Sonic the Hedgehog: The Sound of Speed","1002.7692307692307",13
"Songs of the Sirens: Link's Awakening ReMixed","1002.7692307692307",13
"Lufia: The Legend Returns","1002.7692307692307",26
"Let's Tap","1002.7692307692307",13
"Sunrise & Moonfall: An Ocarina of Time & Majora's Mask Tribute Album","1002.75",36
"Pokémon Red/Blue/Yellow","1002.7391304347826",46
"Wonder Boy III: The Dragon's Trap","1002.7",10
"Piano Collections: Chrono Trigger","1002.7",10
"Kirby's Dream Course","1002.7",10
"Motherlode","1002.7",10
"Johto Legends (Music from \"Pokémon Gold and Silver\")","1002.7",20
"Fallen Hero","1002.7",20
"Sounds of Sunrise","1002.7",20
"Mr. Driller","1002.7",10
"Chiptunes = WIN: Volume 3","1002.6470588235294",17
"Music EXP","1002.5714285714286",7
"Atelier Iris: Eternal Mana","1002.5714285714286",14
"Golden Sun: The Lost Age","1002.5714285714286",14
"Catherine","1002.5714285714286",7
"Donut Dodo","1002.5714285714286",7
"Assassin's Creed II","1002.5714285714286",7
"Mega Man X Jazz Arrange","1002.5714285714286",7
"Sonic 3D Blast (SAT)","1002.5714285714286",14
"Chill SQ","1002.5714285714286",7
"Piano Collections: Pokémon Red/Blue/Yellow","1002.5714285714286",21
"Donkey Kong Remixed","1002.5714285714286",7
"Ballads of Hyrule","1002.5714285714286",14
"OCTOPATH TRAVELER Arrangements Break & Boost -Extend-","1002.5714285714286",7
"Catch This! Vol. 2: Goldenrod FM","1002.5714285714286",21
"Advance Wars: Days of Ruin","1002.5714285714286",14
"Metal Slug 6","1002.5714285714286",7
"Landstalker: The Treasures of King Nole","1002.5714285714286",21
"Silent Hill 3","1002.5714285714286",7
"Wild Arms 3","1002.5714285714286",14
"The 8-Bit Adventure Album","1002.52",25
"Mega Man II (GB)","1002.4545454545455",11
"memória! / The Very Best of Yoko Shimomura","1002.4545454545455",11
"Guilty Gear XX #Reload (Korea)","1002.4545454545455",11
"F-Zero Arranged","1002.4545454545455",11
"Unreal Tournament","1002.4545454545455",11
"Mario Golf","1002.4545454545455",11
"8-Bit Empire","1002.4545454545455",11
"Songs from a Nightmare","1002.4545454545455",22
"SQUARE ENIX JAZZ -CHRONO TRIGGER-","1002.4545454545455",11
"The Sound of Kirby Café","1002.4545454545455",11
