id,album,artist,title,rating,rating_percentile
25584,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","Blue Skies, White Clouds",4.162791,57.82406713622059
25602,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","Snifit or Whiffit!",4.142105,57.82106998351566
25577,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","Sticker Battle",4.1243243,57.81807283081073
25594,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","Paper Mario Sticker Star",4.1,57.8150756781058
25610,"Hello World: Adventures in Mushroomland","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Jump On In! (Overworld)",4.0333333,57.812078525400864
25571,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","Staff Roll",3.9868853,57.809081372695935
25581,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","Spectacular Finale",3.9674418,57.80608421999101
2559,"Blood of Bahamut","Naoshi Mizuta","BLOOD of BAHAMUT Main Theme",3.9023256,57.80308706728607
256,"Split/Second","Steve Emney","Pay Me Back",3.9,57.80008991458114
25601,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","Megasparkle Goomba's Brilliant Battle",3.8857143,57.79709276187622
25611,"Hello World: Adventures in Mushroomland","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Welcome to Mushroomland",3.8666666,57.79409560917129
25612,"Hello World: Adventures in Mushroomland","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Farewell Mushroomland...",3.8666666,57.79109845646636
25591,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","Sling-a-Thing",3.8421052,57.78810130376143
25599,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","Sparkling King, Bowser & Co. Battle",3.825641,57.7851041510565
