id,album,artist,title,rating,Current score,votescore,rankscore,scoreDiff
30128,"Cannon Fodder","fredrikd","Cannon Straits",4.51,1063,90.19999999999999,98.76013044460947,8.560130444609484
21641,"Katamari Damacy","Jake Kaufman (virt)","Katamari Damacy (virt)",4.522857,1063,90.45714000000001,98.88928352329599,8.432143523295977
7180,"Etrian Odyssey IV","Yuzo Koshiro","Battlefield - Storm",4.538235,1072,90.7647,99.13790319976754,8.37320319976753
5808,"Espgaluda II: Black Label","Ryu Umemoto","Stage 6",4.5698113,1090,91.39622599999998,99.75460915049563,8.35838315049564
19112,"Final Fantasy IV: Echoes of Betrayal, Light of Redemption","audio fidelity","The Might of Baron",4.5666666,1081,91.33333199999998,99.68034613025088,8.347014130250898
11274,"A Tribute to Nobuo Uematsu","MkVaff","Sealed Door (Chrono Trigger)",4.5114756,1054,90.229512,98.57285848051403,8.343346480514029
18714,"Metroid","Sam Dillard","The Crimson Depths",4.556818,1072,91.13636,99.44464176164799,8.30828176164799
29712,"Rhythm Gunner","DDRKirby(ISQ)","Rhythm Gunner",4.588,1117,91.76,99.98385586516419,8.223855865164182
18627,"Super Mario World 2: Yoshi's Island","MkVaff","Crystalline Caverns",4.5752807,1081,91.50561400000001,99.6868037841852,8.181189784185193
10474,"Love SQ","livetune","Outskirts of Time (livetune remix)",4.573469,1072,91.46938,99.5996254560718,8.130245456071805
29059,"Speeding Towards Adventures: 25 Years of Sonic the Hedgehog","WillRock","Electromotive Skyforce",4.5333333,1063,90.66666599999999,98.78918988731394,8.122523887313946
28836,"Crypt of the NecroDancer: OverClocked","Chimpazilla","Sepulchre Soirée",4.595699,1126,91.91398,99.99354234606568,8.079562346065686
32433,"FTL: Faster Than Light","Sir_NutS","An Open Galaxy",4.587013,1090,91.74025999999999,99.78689742016725,8.046637420167258
31489,"Secret of Mana","RebeccaETripp, Gamer of the Winds","Colours of the Winter Sky",4.535849,1063,90.71697999999999,98.750443963708,8.033463963708002
1133,"Shadow of the Colossus","Kow Otani","The Opened Way",4.5364704,1054,90.72940799999999,98.56640082657971,7.836992826579717
27194,"Mysterious Space","DDRKirby(ISQ)","Afterglow",4.592727,1081,91.85454,99.6448290336121,7.790289033612098
5771,"Shantae: Risky's Revenge","Jake Kaufman (virt)","Burning Town Forever (Remix)",4.542857,1063,90.85713999999999,98.62451971198864,7.767379711988653
18715,"Metroid","Gabe Terracciano, Shnabubula","Suite for Violin and Piano",4.6190476,1108,92.38095200000001,99.96125407639404,7.580302076394034
12085,"The Cries of the Planet","Vernian Process","Terra (FF VI)",4.5510206,1054,91.02041200000001,98.55671434567822,7.536302345678209
29597,"Ninja Gaiden","DSC","Unbreakable Determination 4-2",4.570213,1063,91.40426,98.76981692551097,7.3655569255109725
33364,"Kingdom Hearts Birth by Sleep","Yoko Shimomura","Rage Awakened -The Origin-",4.570909,1063,91.41818,98.73107100190501,7.312891001905001
7576,"Plants vs. Zombies","Laura Shigihara","Graze the Roof",4.591803,1072,91.83605999999999,99.12498789189887,7.288927891898879
37933,"Deltarune","Toby Fox","Chapter 2: A CYBER'S WORLD?",4.6054053,1072,92.108106,99.21216622001226,7.104060220012258
18946,"Chrono Cross","Avitron, Chris ~ Amaterasu","A Dream Between Worlds",4.633803,1081,92.67606,99.68357495721804,7.007514957218035
